seed,result,endReason,finalScore,finalCoins,turns,turnWhenGridHalf,turnWhenGridFull,noActionTurns
mc-balance-71,win,score_threshold,145.4421758125,134.6121758125,11,6,11,0
mc-balance-72,win,score_threshold,124.7237515625,97.8737515625,10,7,,0
mc-balance-73,win,score_threshold,137.15534625,127.37534625,12,5,10,0
mc-balance-74,win,score_threshold,154.01529953125,134.84529953125002,11,7,,0
mc-balance-75,loss,bankruptcy,1.9618124999999997,-0.38818750000000035,2,,,0
mc-balance-76,win,score_threshold,144.2722875,124.5222875,11,7,,0
mc-balance-77,win,score_threshold,149.47712765625,132.47712765625,10,6,,0
mc-balance-78,win,score_threshold,140.0385696875,129.5485696875,10,6,,0
mc-balance-79,win,score_threshold,134.91101187499999,118.25101187499999,9,6,,0
mc-balance-80,win,score_threshold,154.59019384375,126.84019384375,12,6,11,0
mc-balance-81,win,score_threshold,161.3202078125,138.6102078125,11,8,,0
mc-balance-82,win,score_threshold,124.43884012500003,94.70884012500002,10,5,10,0
mc-balance-83,win,score_threshold,148.5305771875,115.02057718750001,16,8,14,0
mc-balance-84,win,score_threshold,138.94691268749997,121.22691268749998,10,5,10,0
mc-balance-85,win,score_threshold,142.7816986875,120.40169868750002,18,12,17,0
mc-balance-86,win,score_threshold,122.0728459375,115.8128459375,10,5,10,0
mc-balance-87,win,score_threshold,123.96146968750001,97.0314696875,10,6,,0
mc-balance-88,win,all_challenges,144.2958984375,104.28589843750001,9,6,,0
mc-balance-89,win,score_threshold,144.1658109375,125.2858109375,9,6,,0
mc-balance-90,win,score_threshold,162.97648203125,141.00648203125,13,7,12,0
mc-balance-91,win,score_threshold,124.58869703124999,109.38869703124999,9,6,,0
mc-balance-92,win,score_threshold,154.94605715625,138.61605715624998,9,5,,0
mc-balance-93,win,score_threshold,139.58207891875,130.82207891875,11,5,10,0
mc-balance-94,win,score_threshold,124.3764046875,95.2064046875,9,5,,0
mc-balance-95,win,score_threshold,142.21237521875003,112.14237521875002,9,6,,0
mc-balance-96,win,score_threshold,145.64316706249997,121.50316706249995,14,8,13,0
mc-balance-97,win,score_threshold,137.87804421875,118.94804421875,10,6,,0
mc-balance-98,win,score_threshold,143.71499843749996,116.04499843749997,12,6,11,0
mc-balance-99,win,score_threshold,134.83533636250002,111.7553363625,14,6,11,0
mc-balance-100,win,score_threshold,145.77671603124995,127.54671603124996,13,6,11,0
mc-balance-101,win,score_threshold,128.636408125,109.46640812500002,12,7,12,0
mc-balance-102,win,score_threshold,127.52775156250001,101.17775156250002,14,8,13,0
mc-balance-103,win,score_threshold,142.13140078125,112.23140078124999,17,9,14,0
mc-balance-104,win,score_threshold,140.77516890625003,132.09516890625002,9,6,,0
mc-balance-105,win,score_threshold,143.024936375,113.58493637500001,9,5,,0
mc-balance-106,win,score_threshold,135.62415243125002,108.33415243125,9,6,,0
mc-balance-107,win,score_threshold,120.2511340625,102.9111340625,18,11,17,0
mc-balance-108,win,score_threshold,124.41625793750002,105.96625793750002,13,8,13,0
mc-balance-109,win,all_challenges,127.0857471875,85.3357471875,9,6,,0
mc-balance-110,win,score_threshold,132.317884953125,100.607884953125,11,7,,0
mc-balance-111,win,score_threshold,134.73586856249997,112.91586856249998,20,11,16,0
mc-balance-112,win,all_challenges,115.60304224999999,75.56304224999998,19,14,19,0
mc-balance-113,loss,reputation_collapse,2.946065,3.646065,3,,,0
mc-balance-114,win,score_threshold,136.33103312499998,105.37103312499997,12,6,11,0
mc-balance-115,loss,bankruptcy,2.05,-0.20000000000000007,3,,,0
mc-balance-116,win,score_threshold,120.91862570312503,102.70862570312502,10,5,10,0
mc-balance-117,win,score_threshold,143.29780265624998,136.60780265625,10,6,,0
mc-balance-118,loss,bankruptcy,-1,-0.20000000000000018,2,,,0
mc-balance-119,win,score_threshold,125.95974446875002,111.17974446875002,11,7,,0
mc-balance-120,win,score_threshold,151.44493187499998,132.42493187499997,11,6,11,0
mc-balance-121,win,score_threshold,132.2303029375,115.52030293749999,11,7,,0
mc-balance-122,win,score_threshold,134.40502062499996,115.37502062499996,10,5,10,0
mc-balance-123,win,score_threshold,127.75414626875002,100.03414626875002,10,6,,0
mc-balance-124,win,score_threshold,158.1741040625,121.46410406249998,12,6,11,0
mc-balance-125,win,score_threshold,157.690005625,136.720005625,12,7,12,0
mc-balance-126,win,score_threshold,130.270533484375,100.54053348437498,17,11,16,0
mc-balance-127,win,score_threshold,147.10705046875,127.66705046875,10,5,10,0
mc-balance-128,win,score_threshold,162.109560275,131.18956027500002,21,12,18,0
mc-balance-129,win,score_threshold,139.82406249999997,115.09406249999998,11,7,,0
mc-balance-130,win,score_threshold,136.30453387499998,112.80453387499998,13,8,13,0
mc-balance-131,win,score_threshold,151.0392446875,131.1592446875,10,5,10,0
mc-balance-132,win,score_threshold,153.90580024999994,132.18580024999994,11,5,10,0
mc-balance-133,win,score_threshold,137.31652843749998,106.95652843749998,11,8,,0
mc-balance-134,win,score_threshold,131.4862175,98.4862175,16,9,15,0
mc-balance-135,win,score_threshold,137.25404140625,113.20404140624998,11,5,10,0
mc-balance-136,win,score_threshold,154.31157978125,132.97157978125,12,7,12,0
mc-balance-137,win,score_threshold,146.42394218750002,116.5039421875,13,9,,0
mc-balance-138,win,score_threshold,143.29902374999998,121.74902374999996,14,5,11,0
mc-balance-139,win,score_threshold,129.49649624999998,111.42649624999999,13,6,11,0
mc-balance-140,win,score_threshold,121.33775010937498,103.23775010937497,14,8,13,0
mc-balance-141,win,score_threshold,132.84007062499995,113.76007062499997,9,5,,0
mc-balance-142,win,score_threshold,137.75268066249998,94.32268066249998,18,10,16,0
mc-balance-143,win,score_threshold,134.86758970312502,116.37758970312501,11,6,11,0
mc-balance-144,win,score_threshold,126.20528609374999,107.81528609374999,11,7,,0
mc-balance-145,win,score_threshold,120.00992625000002,107.91992625000002,9,7,,0
mc-balance-146,win,score_threshold,160.58294714062498,138.162947140625,16,10,15,0
mc-balance-147,win,score_threshold,123.49581953124999,114.27581953125,10,7,,0
mc-balance-148,win,score_threshold,135.6969530625,106.5769530625,11,7,,0
mc-balance-149,win,score_threshold,131.06524024375,102.43524024374999,17,11,16,0
